PreferredSponsors,Gender,Country,Degree,Sign Up Date,city,zip,isFromSocialMedia,Excelerate,GlobalShala,Grant Thornton China,Illinois Institute of Technology,Saint Louis University
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,United States,Graduate Program Student,2023-10-19,Saint Louis,63103,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Graduate Program Student,2023-06-09,Bokaro Steel City,827012,1,1,1,1,1,1
"['GlobalShala', 'Saint Louis University', 'Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",0.0,United States,High School Student,2023-01-19,Wilmette,60091,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-06-14,Gangtok,737101,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Undergraduate Student,2023-07-10,Kamba,862105,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Graduate Program Student,2023-06-16,Cherpulassery,679337,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Graduate Program Student,2023-08-29,Lagos,104222,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Nigeria,Not in Education,2023-08-30,Ibadan,200001,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-07-07,Hyderabad,502032,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Not in Education,2023-06-15,Ooty,643233,0,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",0.0,India,Graduate Program Student,2022-10-30,Gajwel,502278,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Not in Education,2023-09-18,Chennai,603202,0,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",1.0,United States,Graduate Program Student,2022-08-25,Buffalo,14212-1702,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-08-18,HYDERABAD,500017,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-05-31,Mumbai,400061,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-05-22,Naugachia,853204,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Graduate Program Student,2023-06-15,Ogidi,434101,1,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",0.0,Ethiopia,Not in Education,2022-09-28,Addis Ababa,190300,0,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",1.0,India,Undergraduate Student,2022-10-30,Hyderabad,500080,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-07-26,Narsampet,506132,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-09-25,Rajarhat,700136,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-04-28,Junagadh,362001,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Not in Education,2023-11-01,Kannur,670008,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,United Arab Emirates,High School Student,2023-07-22,Dubai,0,0,1,1,1,1,1
['Saint Louis University'],0.0,United States,Graduate Program Student,2023-09-09,Saint Louis,63108,0,0,0,0,0,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Graduate Program Student,2023-07-07,Delhi,110092,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Ghana,Not in Education,2023-06-24,Accra,402,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,High School Student,2023-03-20,Meerut,250001,1,1,1,1,1,1
"['GlobalShala', 'Saint Louis University', 'Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",0.0,United States,High School Student,2023-01-05,Morganville,7751,0,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",1.0,India,Graduate Program Student,2022-09-26,Nagpur,440014,0,1,1,1,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Afghanistan,Undergraduate Student,2023-03-25,Maidan wardak,1001,0,1,1,1,1,1
"['GlobalShala', 'Saint Louis University', 'Excelerate']",0.0,India,Undergraduate Student,2023-04-25,Hyderabad,500055,1,1,1,0,0,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Nigeria,Not in Education,2023-08-03,Lagos,1001,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Nigeria,Undergraduate Student,2023-07-22,Osogbo,230232,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-05-06,PALWAL,121106,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,United States,Graduate Program Student,2023-09-04,Saint Louis City,63108,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Pakistan,Not in Education,2023-07-13,Karachi,75500,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Norway,Undergraduate Student,2023-05-03,molde,6415,0,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",1.0,India,Undergraduate Student,2022-09-17,Kannur,670562,0,1,1,1,1,1
"['Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",0.0,India,Not in Education,2022-12-09,Ahmedabad,380026,0,1,0,1,1,0
"['Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",1.0,United States,High School Student,2022-10-29,Canton,48187,0,1,0,1,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-07-31,salem,636121,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-11-07,LUCKNOW,226024,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Undergraduate Student,2023-06-13,Pune,411061,1,1,1,1,1,1
['Illinois Institute of Technology'],0.0,India,Graduate Program Student,2023-08-31,Bangalore,560054,0,0,0,0,1,0
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,India,Graduate Program Student,2023-05-06,mangaluru,575006,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Graduate Program Student,2023-05-11,Aligarh,202001,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Vietnam,Undergraduate Student,2023-07-15,Hanoi,100000,1,1,1,1,1,1
"['GlobalShala', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate', 'Grant Thornton China']",0.0,Nigeria,Undergraduate Student,2023-08-10,Jigawa,930101,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Kenya,Graduate Program Student,2023-07-08,Nairobi city,Nil,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-05-04,Hyderabad,500018,1,1,1,1,1,1
"['Saint Louis University', 'Grant Thornton China', 'Excelerate']",0.0,India,Graduate Program Student,2023-01-28,Dehradun,248002,0,1,0,1,0,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,Nigeria,Graduate Program Student,2023-09-04,Jalingo,672104,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-07-23,Haridwar,249403,1,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",0.0,Pakistan,Graduate Program Student,2023-04-21,Karachi,74200,0,1,1,1,1,1
"['Saint Louis University', 'GlobalShala', 'Illinois Institute of Technology', 'Grant Thornton China', 'Excelerate']",1.0,Nigeria,Graduate Program Student,2023-01-28,Alimosho,10001,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",,Nigeria,Undergraduate Student,2023-09-09,Ogun,Thn,1,1,1,1,1,1
"['GlobalShala', 'Illinois Institute of Technology', 'Saint Louis University', 'Grant Thornton China', 'Excelerate']",1.0,India,Undergraduate Student,2022-08-29,wardha,442203,0,1,1,1,1,1
"['GlobalShala', 'Grant Thornton China', 'Saint Louis University', 'Illinois Institute of Technology', 'Excelerate']",1.0,India,Undergraduate Student,2023-06-26,Pune,411051,1,1,1,1,1,1
